
========> The following is the setup for this run:

2021_7_29_16_3_54_data_fashionmnist_arch_conv6_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv6
pretrained: False
resume: 
dataname: fashionmnist
datapath: ./data/fashionmnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: fashionmnist_conv6_train
logterminal: True
save_stages: False
gpu_idx: ['0']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 41293.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv6, is being replicated on 1 processes.

Learning rate: 0.00030000 | Curr loss: 0.1711 | Avg loss: 0.6021 | Prec@1(avg) 78.93 % | Prec@5(avg) 98.43 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 400/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2151
Learning rate: 0.00030000 | Curr loss: 0.4105 | Avg loss: 0.5960 | Prec@1(avg) 79.14 % | Prec@5(avg) 98.47 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 410/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2168
Learning rate: 0.00030000 | Curr loss: 0.2771 | Avg loss: 0.5905 | Prec@1(avg) 79.30 % | Prec@5(avg) 98.50 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 420/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2178
Learning rate: 0.00030000 | Curr loss: 0.5623 | Avg loss: 0.5873 | Prec@1(avg) 79.38 % | Prec@5(avg) 98.54 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 430/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2183
Learning rate: 0.00030000 | Curr loss: 0.4119 | Avg loss: 0.5834 | Prec@1(avg) 79.49 % | Prec@5(avg) 98.57 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 440/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2193
Learning rate: 0.00030000 | Curr loss: 0.2766 | Avg loss: 0.5784 | Prec@1(avg) 79.63 % | Prec@5(avg) 98.60 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 450/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2171
Learning rate: 0.00030000 | Curr loss: 0.3680 | Avg loss: 0.5743 | Prec@1(avg) 79.75 % | Prec@5(avg) 98.63 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 460/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2135
Learning rate: 0.00030000 | Curr loss: 0.3191 | Avg loss: 0.5692 | Prec@1(avg) 79.89 % | Prec@5(avg) 98.66 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 470/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2127
Learning rate: 0.00030000 | Curr loss: 0.2906 | Avg loss: 0.5640 | Prec@1(avg) 80.05 % | Prec@5(avg) 98.68 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 480/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2141
Learning rate: 0.00030000 | Curr loss: 0.4408 | Avg loss: 0.5598 | Prec@1(avg) 80.18 % | Prec@5(avg) 98.71 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 490/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2135
Learning rate: 0.00030000 | Curr loss: 0.3246 | Avg loss: 0.5554 | Prec@1(avg) 80.33 % | Prec@5(avg) 98.73 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 500/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2150
Learning rate: 0.00030000 | Curr loss: 0.3622 | Avg loss: 0.5521 | Prec@1(avg) 80.44 % | Prec@5(avg) 98.75 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 510/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2146
Learning rate: 0.00030000 | Curr loss: 0.5619 | Avg loss: 0.5488 | Prec@1(avg) 80.56 % | Prec@5(avg) 98.76 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 520/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2121
Learning rate: 0.00030000 | Curr loss: 0.1947 | Avg loss: 0.5442 | Prec@1(avg) 80.70 % | Prec@5(avg) 98.79 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 530/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2127
Learning rate: 0.00030000 | Curr loss: 0.3180 | Avg loss: 0.5408 | Prec@1(avg) 80.83 % | Prec@5(avg) 98.81 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 540/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2119
Learning rate: 0.00030000 | Curr loss: 0.3994 | Avg loss: 0.5369 | Prec@1(avg) 80.96 % | Prec@5(avg) 98.82 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 550/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2114
Learning rate: 0.00030000 | Curr loss: 0.5963 | Avg loss: 0.5347 | Prec@1(avg) 81.02 % | Prec@5(avg) 98.83 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 560/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2124
Learning rate: 0.00030000 | Curr loss: 0.3018 | Avg loss: 0.5302 | Prec@1(avg) 81.18 % | Prec@5(avg) 98.85 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 570/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2107
Learning rate: 0.00030000 | Curr loss: 0.2351 | Avg loss: 0.5274 | Prec@1(avg) 81.30 % | Prec@5(avg) 98.86 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 580/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2106
Learning rate: 0.00030000 | Curr loss: 0.2233 | Avg loss: 0.5234 | Prec@1(avg) 81.43 % | Prec@5(avg) 98.88 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 590/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2103
Learning rate: 0.00030000 | Curr loss: 0.2230 | Avg loss: 0.5210 | Prec@1(avg) 81.49 % | Prec@5(avg) 98.89 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 600/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2103
Learning rate: 0.00030000 | Curr loss: 0.2565 | Avg loss: 0.5181 | Prec@1(avg) 81.59 % | Prec@5(avg) 98.91 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 610/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2070
