
========> The following is the setup for this run:

2021_7_29_1_39_50_data_mnist_arch_conv4_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv4
pretrained: False
resume: 
dataname: mnist
datapath: ./data/mnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: mnist_conv4_train
logterminal: True
save_stages: False
gpu_idx: ['0']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 26218.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv4, is being replicated on 1 processes.

Learning rate: 0.00030000 | Curr loss: 0.1235 | Avg loss: 0.2903 | Prec@1(avg) 92.11 % | Prec@5(avg) 98.38 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 390/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2357
Learning rate: 0.00030000 | Curr loss: 0.0621 | Avg loss: 0.2848 | Prec@1(avg) 92.26 % | Prec@5(avg) 98.42 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 400/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2323
Learning rate: 0.00030000 | Curr loss: 0.1452 | Avg loss: 0.2793 | Prec@1(avg) 92.40 % | Prec@5(avg) 98.46 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 410/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2335
Learning rate: 0.00030000 | Curr loss: 0.1046 | Avg loss: 0.2747 | Prec@1(avg) 92.52 % | Prec@5(avg) 98.50 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 420/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2338
Learning rate: 0.00030000 | Curr loss: 0.1130 | Avg loss: 0.2709 | Prec@1(avg) 92.63 % | Prec@5(avg) 98.53 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 430/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2345
Learning rate: 0.00030000 | Curr loss: 0.0992 | Avg loss: 0.2665 | Prec@1(avg) 92.73 % | Prec@5(avg) 98.57 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 440/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2356
Learning rate: 0.00030000 | Curr loss: 0.0114 | Avg loss: 0.2619 | Prec@1(avg) 92.85 % | Prec@5(avg) 98.59 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 450/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2353
Learning rate: 0.00030000 | Curr loss: 0.0751 | Avg loss: 0.2579 | Prec@1(avg) 92.96 % | Prec@5(avg) 98.63 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 460/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2362
Learning rate: 0.00030000 | Curr loss: 0.0096 | Avg loss: 0.2540 | Prec@1(avg) 93.05 % | Prec@5(avg) 98.65 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 470/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2365
Learning rate: 0.00030000 | Curr loss: 0.0375 | Avg loss: 0.2502 | Prec@1(avg) 93.16 % | Prec@5(avg) 98.68 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 480/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2374
Learning rate: 0.00030000 | Curr loss: 0.0620 | Avg loss: 0.2469 | Prec@1(avg) 93.25 % | Prec@5(avg) 98.71 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 490/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2361
Learning rate: 0.00030000 | Curr loss: 0.1116 | Avg loss: 0.2441 | Prec@1(avg) 93.31 % | Prec@5(avg) 98.73 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 500/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2343
Learning rate: 0.00030000 | Curr loss: 0.1660 | Avg loss: 0.2404 | Prec@1(avg) 93.41 % | Prec@5(avg) 98.76 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 510/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2335
Learning rate: 0.00030000 | Curr loss: 0.2324 | Avg loss: 0.2375 | Prec@1(avg) 93.48 % | Prec@5(avg) 98.78 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 520/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2340
Learning rate: 0.00030000 | Curr loss: 0.0255 | Avg loss: 0.2340 | Prec@1(avg) 93.57 % | Prec@5(avg) 98.80 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 530/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2344
Learning rate: 0.00030000 | Curr loss: 0.0829 | Avg loss: 0.2309 | Prec@1(avg) 93.65 % | Prec@5(avg) 98.82 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 540/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2351
Learning rate: 0.00030000 | Curr loss: 0.0175 | Avg loss: 0.2281 | Prec@1(avg) 93.71 % | Prec@5(avg) 98.85 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 550/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2351
Learning rate: 0.00030000 | Curr loss: 0.0445 | Avg loss: 0.2247 | Prec@1(avg) 93.80 % | Prec@5(avg) 98.87 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 560/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2349
Learning rate: 0.00030000 | Curr loss: 0.1684 | Avg loss: 0.2220 | Prec@1(avg) 93.87 % | Prec@5(avg) 98.89 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 570/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2349
Learning rate: 0.00030000 | Curr loss: 0.0283 | Avg loss: 0.2193 | Prec@1(avg) 93.94 % | Prec@5(avg) 98.91 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 580/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2345
Learning rate: 0.00030000 | Curr loss: 0.0536 | Avg loss: 0.2168 | Prec@1(avg) 94.01 % | Prec@5(avg) 98.93 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 590/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2355
Learning rate: 0.00030000 | Curr loss: 0.0177 | Avg loss: 0.2144 | Prec@1(avg) 94.07 % | Prec@5(avg) 98.94 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 600/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2365
Learning rate: 0.00030000 | Curr loss: 0.0425 | Avg loss: 0.2119 | Prec@1(avg) 94.14 % | Prec@5(avg) 98.96 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 610/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2376
Learning rate: 0.00030000 | Curr loss: 0.0199 | Avg loss: 0.2095 | Prec@1(avg) 94.21 % | Prec@5(avg) 98.98 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 620/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2378
Learning rate: 0.00030000 | Curr loss: 0.0873 | Avg loss: 0.2076 | Prec@1(avg) 94.26 % | Prec@5(avg) 98.99 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 630/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2376
Learning rate: 0.00030000 | Curr loss: 0.0092 | Avg loss: 0.2050 | Prec@1(avg) 94.33 % | Prec@5(avg) 99.01 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 640/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2361
Learning rate: 0.00030000 | Curr loss: 0.0143 | Avg loss: 0.2030 | Prec@1(avg) 94.39 % | Prec@5(avg) 99.02 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 650/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2352
Learning rate: 0.00030000 | Curr loss: 0.0207 | Avg loss: 0.2006 | Prec@1(avg) 94.44 % | Prec@5(avg) 99.04 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 660/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2346
Learning rate: 0.00030000 | Curr loss: 0.0668 | Avg loss: 0.1984 | Prec@1(avg) 94.49 % | Prec@5(avg) 99.05 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 670/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2324
Learning rate: 0.00030000 | Curr loss: 0.0439 | Avg loss: 0.1966 | Prec@1(avg) 94.54 % | Prec@5(avg) 99.06 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 680/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2326
Learning rate: 0.00030000 | Curr loss: 0.0157 | Avg loss: 0.1947 | Prec@1(avg) 94.59 % | Prec@5(avg) 99.08 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 690/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2331
Learning rate: 0.00030000 | Curr loss: 0.0779 | Avg loss: 0.1929 | Prec@1(avg) 94.63 % | Prec@5(avg) 99.09 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 700/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2340
Learning rate: 0.00030000 | Curr loss: 0.0439 | Avg loss: 0.1910 | Prec@1(avg) 94.68 % | Prec@5(avg) 99.10 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 710/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2342
Learning rate: 0.00030000 | Curr loss: 0.0840 | Avg loss: 0.1893 | Prec@1(avg) 94.72 % | Prec@5(avg) 99.12 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 720/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2344
Learning rate: 0.00030000 | Curr loss: 0.0240 | Avg loss: 0.1874 | Prec@1(avg) 94.77 % | Prec@5(avg) 99.13 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 730/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2348
Learning rate: 0.00030000 | Curr loss: 0.0494 | Avg loss: 0.1855 | Prec@1(avg) 94.82 % | Prec@5(avg) 99.14 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 740/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2344
