
========> The following is the setup for this run:

2021_7_29_18_21_28_data_imagenet_arch_resnet34_init_kaimingn_GPUs_5_minib_205_opt_SGD+M_lr_0.35_lrpolicy_cosine_lr_ep_1

arch: resnet34
pretrained: False
resume: 
dataname: imagenet
datapath: /datasets/imagenet/
workers: 20
batch_size: 205
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: SGD+M
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0001
lr: 0.35
lr_policy: cosine_lr
warmup_length: 0
lr_gamma: 0.1
lr_steps: [30, 60, 80]
lowest_lr: 0.0
scale_coslr: 1.04
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.9
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: imagenet_resnet34_train
logterminal: True
save_stages: False
gpu_idx: ['3', '4', '5', '6', '7']
local_rank: 0
channels_last: False
distributed: True
world_size: 5

=> Global rank of the current node is 0 and the process id is 44399.
=> There are 5 process(es) runing on GPU(s).
=> Visible GPU(s) are ['3', '4', '5', '6', '7'] for running 5 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 3 whose id is 0 is being used for training of the current process.

=> The model, i.e., resnet34, is being replicated on 5 processes.

Learning rate: 0.35000000 | Curr loss: 6.1633 | Avg loss: 6.6947 | Prec@1(avg) 0.68 % | Prec@5(avg) 2.69 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 510/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2004
Learning rate: 0.35000000 | Curr loss: 6.1311 | Avg loss: 6.6840 | Prec@1(avg) 0.70 % | Prec@5(avg) 2.76 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 520/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2004
Learning rate: 0.35000000 | Curr loss: 6.1089 | Avg loss: 6.6724 | Prec@1(avg) 0.73 % | Prec@5(avg) 2.86 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 530/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 6.0426 | Avg loss: 6.6614 | Prec@1(avg) 0.75 % | Prec@5(avg) 2.93 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 540/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 6.2884 | Avg loss: 6.6510 | Prec@1(avg) 0.78 % | Prec@5(avg) 3.01 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 550/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 6.0943 | Avg loss: 6.6412 | Prec@1(avg) 0.80 % | Prec@5(avg) 3.09 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 560/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 6.1083 | Avg loss: 6.6314 | Prec@1(avg) 0.82 % | Prec@5(avg) 3.16 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 570/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 6.0228 | Avg loss: 6.6213 | Prec@1(avg) 0.85 % | Prec@5(avg) 3.25 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 580/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 5.9654 | Avg loss: 6.6110 | Prec@1(avg) 0.88 % | Prec@5(avg) 3.34 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 590/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 6.0188 | Avg loss: 6.5998 | Prec@1(avg) 0.90 % | Prec@5(avg) 3.44 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 600/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 5.9505 | Avg loss: 6.5891 | Prec@1(avg) 0.93 % | Prec@5(avg) 3.53 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 610/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 5.9131 | Avg loss: 6.5782 | Prec@1(avg) 0.96 % | Prec@5(avg) 3.62 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 620/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2005
Learning rate: 0.35000000 | Curr loss: 5.8402 | Avg loss: 6.5670 | Prec@1(avg) 0.99 % | Prec@5(avg) 3.72 %

