
========> The following is the setup for this run:

2021_8_2_19_49_57_data_imagenet_arch_resnet50_init_kaimingn_GPUs_4_minib_205_opt_SGD+M_lr_0.35_lrpolicy_cosine_lr_ep_90

arch: resnet50
pretrained: False
resume: 
dataname: imagenet
datapath: /datasets/imagenet/
workers: 20
batch_size: 205
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: SGD+M
epochs: 90
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0001
lr: 0.35
lr_policy: cosine_lr
warmup_length: 0
lr_gamma: 0.1
lr_steps: [30, 60, 80]
lowest_lr: 0.0
scale_coslr: 1.02
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.9
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: imagenet_resnet50_train
logterminal: True
save_stages: False
gpu_idx: ['0', '1', '2', '3']
local_rank: 0
channels_last: False
distributed: True
world_size: 4

=> Global rank of the current node is 0 and the process id is 48838.
=> There are 4 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0', '1', '2', '3'] for running 4 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., resnet50, is being replicated on 4 processes.

Learning rate: 0.3500 | Curr loss: 6.8084 | Avg loss: 7.3747 | Prec@1(avg) 0.16 % | Prec@5(avg) 0.77 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 270/1563] | Time(avg): 9.61 | Speed: (pics/sec):   854
Learning rate: 0.3500 | Curr loss: 6.7955 | Avg loss: 7.3535 | Prec@1(avg) 0.17 % | Prec@5(avg) 0.79 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 280/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
Learning rate: 0.3500 | Curr loss: 6.7912 | Avg loss: 7.3333 | Prec@1(avg) 0.17 % | Prec@5(avg) 0.81 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 290/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
Learning rate: 0.3500 | Curr loss: 6.7783 | Avg loss: 7.3137 | Prec@1(avg) 0.18 % | Prec@5(avg) 0.83 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 300/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
Learning rate: 0.3500 | Curr loss: 6.7615 | Avg loss: 7.2954 | Prec@1(avg) 0.18 % | Prec@5(avg) 0.85 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 310/1563] | Time(avg): 9.61 | Speed: (pics/sec):   854
Learning rate: 0.3500 | Curr loss: 6.7362 | Avg loss: 7.2782 | Prec@1(avg) 0.19 % | Prec@5(avg) 0.88 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 320/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
Learning rate: 0.3500 | Curr loss: 6.7424 | Avg loss: 7.2620 | Prec@1(avg) 0.19 % | Prec@5(avg) 0.89 %

